City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Mubi,NG,2022-01-30 21:45:17,10.2676,13.2644,63.86,29,31,4.79,scattered clouds
163,Adrar,MR,2022-01-30 21:45:17,20.5022,-10.0711,75.31,13,100,10.11,overcast clouds
164,Hirara,JP,2022-01-30 21:45:18,24.8,125.2833,59.27,58,40,11.5,scattered clouds
165,Carnaiba,BR,2022-01-30 21:45:18,-8.7,-37.6667,83.8,46,88,14.45,overcast clouds
166,Namatanai,PG,2022-01-30 21:45:18,-3.6667,152.4333,81.3,77,100,3.29,overcast clouds
167,Tuktoyaktuk,CA,2022-01-30 21:45:11,69.4541,-133.0374,-0.4,78,100,19.57,light snow
168,Bathsheba,BB,2022-01-30 21:45:19,13.2167,-59.5167,79.41,69,40,24.16,scattered clouds
169,Dali,CN,2022-01-30 21:42:00,25.7,100.1833,36.5,88,23,3.38,few clouds
170,Ancud,CL,2022-01-30 21:45:19,-41.8697,-73.8203,62.13,58,32,12.21,scattered clouds
171,Tiksi,RU,2022-01-30 21:42:31,71.6872,128.8694,-18.11,100,96,4.45,overcast clouds
172,Saint-Pierre,RE,2022-01-30 21:45:20,-21.3393,55.4781,78.48,73,11,11.5,few clouds
173,Aleksandrov Gay,RU,2022-01-30 21:45:20,50.147,48.5704,27.5,91,96,9.84,overcast clouds
174,Drumheller,CA,2022-01-30 21:45:20,51.4617,-112.7101,43.27,64,87,4.61,overcast clouds
175,Purpe,RU,2022-01-30 21:45:21,64.4803,76.6897,-3.62,100,91,7.52,overcast clouds
176,Katherine,AU,2022-01-30 21:45:21,-14.4667,132.2667,79.12,83,78,11.5,broken clouds
177,Guaruja,BR,2022-01-30 21:43:56,-23.9931,-46.2564,78.87,59,100,2.3,light rain
178,Yulara,AU,2022-01-30 21:45:21,-25.2406,130.9889,71.44,100,75,12.66,broken clouds
179,Mansa,IN,2022-01-30 21:45:22,29.9833,75.3833,50.34,48,0,2.68,clear sky
180,Lieksa,FI,2022-01-30 21:45:22,63.3167,30.0167,17.37,90,100,10.38,overcast clouds
181,Byron Bay,AU,2022-01-30 21:42:31,-28.65,153.6167,79.05,85,74,8.75,broken clouds
182,Mount Gambier,AU,2022-01-30 21:45:22,-37.8333,140.7667,62.51,100,100,2.3,fog
183,Mmabatho,ZA,2022-01-30 21:45:23,-25.85,25.6333,67.96,88,100,9.22,overcast clouds
184,Te Anau,NZ,2022-01-30 21:44:59,-45.4167,167.7167,66.97,70,21,0.67,few clouds
185,Vardo,NO,2022-01-30 21:44:33,70.3705,31.1107,28.15,80,40,10.36,scattered clouds
186,Iqaluit,CA,2022-01-30 21:46:23,63.7506,-68.5145,-15.07,76,40,5.75,scattered clouds
187,Matara,LK,2022-01-30 21:46:24,5.9485,80.5353,74.93,94,35,6.2,scattered clouds
188,Kopavogur,IS,2022-01-30 21:46:24,64.1123,-21.913,26.82,80,40,26.46,scattered clouds
189,Tabou,CI,2022-01-30 21:46:24,4.423,-7.3528,79.79,86,25,7.81,scattered clouds
190,Espirito Santo Do Pinhal,BR,2022-01-30 21:41:51,-22.1158,-46.6828,63.32,97,97,1.05,light rain
191,Shuangcheng,CN,2022-01-30 21:46:25,45.35,126.2833,-13.32,100,17,0.51,few clouds
192,Leningradskiy,RU,2022-01-30 21:46:25,69.3833,178.4167,-14.04,94,90,3.74,overcast clouds
193,Bow Island,CA,2022-01-30 21:46:25,49.8668,-111.3684,50.29,37,100,16.11,overcast clouds
194,Kirakira,SB,2022-01-30 21:46:26,-10.4544,161.9205,83.25,76,92,5.1,moderate rain
195,Champerico,GT,2022-01-30 21:46:26,14.3,-91.9167,91.94,66,4,11.07,clear sky
196,Vila Velha,BR,2022-01-30 21:46:26,-20.3297,-40.2925,80.55,85,0,3.0,clear sky
197,Kavaratti,IN,2022-01-30 21:46:27,10.5669,72.642,81.23,73,13,8.32,few clouds
198,Husavik,IS,2022-01-30 21:46:27,66.0449,-17.3389,22.91,67,40,27.76,scattered clouds
199,Viedma,AR,2022-01-30 21:46:28,-40.8135,-62.9967,69.15,18,64,20.69,broken clouds
200,Wajima,JP,2022-01-30 21:46:28,37.4,136.9,35.26,59,100,9.33,overcast clouds
201,Bacolod,PH,2022-01-30 21:46:29,10.6667,122.95,76.55,86,48,3.44,scattered clouds
202,Taber,CA,2022-01-30 21:43:34,49.8167,-112.1518,51.31,38,100,16.6,overcast clouds
203,Copiapo,CL,2022-01-30 21:46:29,-27.3667,-70.3333,67.69,50,0,8.41,clear sky
204,Cap Malheureux,MU,2022-01-30 21:46:29,-19.9842,57.6142,79.29,81,100,5.01,overcast clouds
205,Taoudenni,ML,2022-01-30 21:46:30,22.6783,-3.9836,73.31,14,87,15.61,overcast clouds
206,Kahului,US,2022-01-30 21:46:30,20.8947,-156.47,82.42,57,0,14.97,clear sky
207,Luwingu,ZM,2022-01-30 21:46:30,-10.2621,29.9271,61.02,96,100,0.45,overcast clouds
208,Dreux,FR,2022-01-30 21:46:31,48.6667,1.25,42.51,92,51,8.86,broken clouds
209,Flinders,AU,2022-01-30 21:45:43,-34.5833,150.8552,78.8,78,20,5.99,few clouds
210,Port Macquarie,AU,2022-01-30 21:42:26,-31.4333,152.9167,74.89,77,8,4.59,clear sky
211,Petrove,UA,2022-01-30 21:46:31,48.3247,33.2562,27.27,93,44,12.93,scattered clouds
212,Hasaki,JP,2022-01-30 21:42:09,35.7333,140.8333,28.8,48,100,16.82,overcast clouds
213,Pimentel,PE,2022-01-30 21:42:49,-6.8367,-79.9342,77.29,53,0,19.57,clear sky
214,Rio Gallegos,AR,2022-01-30 21:46:32,-51.6226,-69.2181,57.25,30,40,33.38,scattered clouds
215,Hambantota,LK,2022-01-30 21:46:33,6.1241,81.1185,75.54,100,0,2.3,clear sky
216,Marawi,PH,2022-01-30 21:46:33,7.9986,124.2928,64.65,92,16,1.54,few clouds
217,Kemijarvi,FI,2022-01-30 21:46:33,66.7131,27.4306,-0.15,99,100,3.13,overcast clouds
218,Llangefni,GB,2022-01-30 21:46:34,53.2556,-4.3106,47.98,74,75,27.63,broken clouds
219,Mount Isa,AU,2022-01-30 21:46:34,-20.7333,139.5,74.97,100,75,5.75,broken clouds
220,Nemuro,JP,2022-01-30 21:46:35,43.3236,145.575,15.78,68,39,12.19,scattered clouds
221,North Bend,US,2022-01-30 21:46:35,43.4065,-124.2243,57.92,86,75,14.97,broken clouds
222,Nuuk,GL,2022-01-30 21:46:35,64.1835,-51.7216,12.81,73,40,16.11,scattered clouds
223,Natal,BR,2022-01-30 21:46:36,-5.795,-35.2094,84.42,74,20,11.5,few clouds
224,Mudon,MM,2022-01-30 21:46:36,16.2578,97.7164,62.06,81,34,4.16,scattered clouds
225,Agadez,NE,2022-01-30 21:46:36,19.75,10.25,55.96,17,0,11.43,clear sky
226,Kavieng,PG,2022-01-30 21:46:37,-2.5744,150.7967,81.64,75,89,2.28,overcast clouds
227,Port Moresby,PG,2022-01-30 21:44:12,-9.4431,147.1797,74.62,88,75,11.5,broken clouds
228,Tuatapere,NZ,2022-01-30 21:46:37,-46.1333,167.6833,67.82,68,17,2.59,few clouds
229,Bougouni,ML,2022-01-30 21:46:37,11.417,-7.479,79.3,13,8,5.75,clear sky
230,Comodoro Rivadavia,AR,2022-01-30 21:46:38,-45.8667,-67.5,62.46,34,40,11.5,scattered clouds
231,Nelson Bay,AU,2022-01-30 21:47:38,-32.7167,152.15,78.12,85,80,1.01,broken clouds
232,Maragogi,BR,2022-01-30 21:47:38,-9.0122,-35.2225,79.79,79,100,9.62,overcast clouds
233,Wanning,CN,2022-01-30 21:47:39,18.8003,110.3967,69.39,85,99,13.31,overcast clouds
234,Verkh-Usugli,RU,2022-01-30 21:47:39,52.7,115.1667,-17.81,97,7,2.77,clear sky
235,Mokhsogollokh,RU,2022-01-30 21:47:39,61.4681,128.9203,-20.2,100,100,3.36,overcast clouds
236,Batesville,US,2022-01-30 21:47:40,35.7698,-91.641,64.09,24,0,3.44,clear sky
237,Junagarh,IN,2022-01-30 21:47:40,19.8667,82.9333,57.24,33,0,3.27,clear sky
238,Troitsko-Pechorsk,RU,2022-01-30 21:47:40,62.7084,56.1964,-7.87,100,97,2.77,overcast clouds
239,Tiznit,MA,2022-01-30 21:47:41,29.5833,-9.5,62.44,27,100,22.24,overcast clouds
240,Am Timan,TD,2022-01-30 21:47:41,11.0297,20.2827,72.73,17,4,7.54,clear sky
241,Filingue,NE,2022-01-30 21:47:41,14.3521,3.3168,72.37,12,15,13.11,few clouds
242,Ngunguru,NZ,2022-01-30 21:47:42,-35.6167,174.5,72.16,71,96,16.11,overcast clouds
243,Balasheyka,RU,2022-01-30 21:47:42,53.2841,48.0851,22.42,95,100,4.9,overcast clouds
244,Grindavik,IS,2022-01-30 21:44:40,63.8424,-22.4338,27.07,68,75,36.82,light shower snow
245,Colares,PT,2022-01-30 21:47:43,38.7992,-9.4469,57.88,40,0,5.01,clear sky
246,Skegness,GB,2022-01-30 21:47:43,53.1436,0.3363,44.96,83,99,27.27,overcast clouds
247,Bodden Town,KY,2022-01-30 21:47:43,19.2833,-81.25,71.01,56,40,7.0,scattered clouds
248,Dalbandin,PK,2022-01-30 21:47:44,28.8947,64.4101,55.53,39,0,6.91,clear sky
249,Otopeni,RO,2022-01-30 21:47:44,44.55,26.0667,39.87,67,0,15.01,clear sky
250,Warri,NG,2022-01-30 21:47:44,5.5167,5.75,75.31,67,49,3.2,scattered clouds
251,Nosy Varika,MG,2022-01-30 21:47:45,-20.5833,48.5333,72.54,85,23,4.65,few clouds
252,Amarante Do Maranhao,BR,2022-01-30 21:47:45,-5.5667,-46.7422,71.85,94,50,2.71,scattered clouds
253,Rocha,UY,2022-01-30 21:47:45,-34.4833,-54.3333,73.0,68,0,11.45,clear sky
254,Horodyshche,UA,2022-01-30 21:47:46,49.2849,31.4451,32.9,88,39,18.5,light snow
255,Bilibino,RU,2022-01-30 21:47:46,68.0546,166.4372,-12.64,96,75,5.12,broken clouds
256,Dorado,PR,2022-01-30 21:47:46,18.4588,-66.2677,81.16,74,1,11.18,clear sky
257,Ponta Do Sol,PT,2022-01-30 21:43:53,32.6667,-17.1,65.03,73,1,9.37,clear sky
258,Katsuura,JP,2022-01-30 21:47:47,35.1333,140.3,38.19,52,100,11.48,overcast clouds
259,Fereydun Kenar,IR,2022-01-30 21:47:47,36.6864,52.5225,48.29,67,0,4.5,clear sky
