City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Tubmanburg,LR,2022-01-30 01:10:26,6.8708,-10.8172,73.8,95,72,1.92
275,Itaituba,BR,2022-01-30 01:10:26,-4.2761,-55.9836,71.38,100,100,1.19
276,Carutapera,BR,2022-01-30 01:10:27,-1.195,-46.02,74.89,88,100,5.75
277,Bahile,PH,2022-01-30 01:11:27,9.9995,118.7878,81.41,78,7,0.69
278,Guerrero Negro,MX,2022-01-30 01:11:28,27.9769,-114.0611,64.24,41,2,13.15
279,Vanimo,PG,2022-01-30 01:11:28,-2.6741,141.3028,80.26,80,100,9.48
280,Qaqortoq,GL,2022-01-30 01:11:28,60.7167,-46.0333,12.7,91,100,15.05
281,Zhongshu,CN,2022-01-30 01:11:29,24.5167,103.7667,38.52,93,98,2.64
282,Aksay,RU,2022-01-30 01:11:29,47.26,39.87,34.02,98,86,13.0
283,Muisne,EC,2022-01-30 01:11:29,0.6,-80.0333,75.74,86,97,1.36
284,Tonk,IN,2022-01-30 01:11:30,26.1667,75.7833,53.15,34,0,5.01
285,Bilibino,RU,2022-01-30 01:11:30,68.0546,166.4372,-0.98,88,100,2.57
286,Amahai,ID,2022-01-30 01:11:30,-3.3333,128.9167,85.05,65,100,4.65
287,Pitimbu,BR,2022-01-30 01:11:31,-7.4706,-34.8086,77.59,81,86,7.38
288,Pesqueira,BR,2022-01-30 01:11:31,-8.3578,-36.6964,67.08,87,100,4.34
289,Mossendjo,CG,2022-01-30 01:11:31,-2.9506,12.7261,70.14,99,96,2.82
290,Wajima,JP,2022-01-30 01:11:32,37.4,136.9,36.07,61,100,13.24
291,Iqaluit,CA,2022-01-30 01:11:32,63.7506,-68.5145,-16.78,90,100,6.87
